DATE,Reconstructed CPI
01-08-1951,25.9
01-09-1951,26.1
01-10-1951,26.2
01-11-1951,26.4
01-12-1951,26.5
01-01-1952,26.5
01-02-1952,26.3
01-03-1952,26.3
01-04-1952,26.4
01-05-1952,26.4
01-06-1952,26.5
01-07-1952,26.7
01-08-1952,26.7
01-09-1952,26.7
01-10-1952,26.7
01-11-1952,26.7
01-12-1952,26.7
01-01-1953,26.6
01-02-1953,26.5
01-03-1953,26.6
01-04-1953,26.6
01-05-1953,26.7
01-06-1953,26.8
01-07-1953,26.8
01-08-1953,26.9
01-09-1953,26.9
01-10-1953,27
01-11-1953,26.9
01-12-1953,26.9
01-01-1954,26.9
01-02-1954,26.9
01-03-1954,26.9
01-04-1954,26.8
01-05-1954,26.9
01-06-1954,26.9
01-07-1954,26.9
01-08-1954,26.9
01-09-1954,26.8
01-10-1954,26.8
01-11-1954,26.8
01-12-1954,26.7
01-01-1955,26.7
01-02-1955,26.7
01-03-1955,26.7
01-04-1955,26.7
01-05-1955,26.7
01-06-1955,26.7
01-07-1955,26.8
01-08-1955,26.8
01-09-1955,26.9
01-10-1955,26.9
01-11-1955,26.9
01-12-1955,26.8
01-01-1956,26.8
01-02-1956,26.8
01-03-1956,26.8
01-04-1956,26.9
01-05-1956,27
01-06-1956,27.2
